CÃ³digo Provincia;CÃ³digo CantÃ³n;CÃ³digo Parroquia;Nombre de la Provincia;Nombre del CantÃ³n;Nombre de la Parroquia
01;01;50;AZUAY;CUENCA;CUENCA
02;01;50;BOLIVAR; GUARANDA; GUARANDA
03;01;50; CAÑAR;AZOGUES;AZOGUES
04;01;50;CARCHI; TULCAN; TULCAN
05;01;50; COTOPAXI;LATACUNGA;LATACUNGA
06;01;50;CHIMBORAZO;RIOBAMBA;RIOBAMBA
07;01;50;EL ORO;MACHALA;MACHALA
08;01;50;ESMERALDAS; ESMERALDAS;ESMERALDAS
09;01;50;GUAYAS; GUAYAQUIL;GUAYAQUIL
10;01;50;IMBABURA; IBARRA;SAN MIGUEL DE IBARRA
11;01;50;LOJA ; LOJA;LOJA
12;01;50;LOS RIOS;BABAHOYO;BABAHOYO
13;01;50;MANABI;PORTOVIEJO;PORTOVIEJO
14;01;50; MORONA SANTIAGO;MORONA;MACAS
15;01;50; NAPO;TENA;TENA
16;01;50; PASTAZA;PASTAZA;PUYO
17;01;50;PICHINCHA;QUITO;QUITO DISTRITO METROPOLITANO, CABECERA CANTONAL, CAPITAL PROVINCIAL Y DE LA REPUBLICA DEL ECUADOR
18;01;50;TUNGURAHUA;AMBATO;AMBATO
19;01;50; ZAMORA CHINCHIPE;ZAMORA;ZAMORA
20;01;50; GALAPAGOS; SAN CRISTOBAL;PUERTO BAQUERIZO MORENO
21;01;50;SUCUMBIOS; LAGO AGRIO;NUEVA LOJA
22;01;50; ORELLANA;ORELLANA;PUERTO FRANCISCO DE ORELLANA (EL COCA)
23;01;50;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS
24;01;50;SANTA ELENA; SANTA ELENA;SANTA ELENA
01;02;50;AZUAY;GIRON;GIRON
02;02;50;BOLIVAR; CHILLANES; CHILLANES
03;02;50; CAÑAR; BIBLIAN; BIBLIAN
04;02;50;CARCHI; BOLIVAR; BOLIVAR
05;02;50; COTOPAXI;LA MANA;LA MANA
06;02;50;CHIMBORAZO;ALAUSI;ALAUSI
07;02;50;EL ORO;ARENILLAS;ARENILLAS
08;02;50;ESMERALDAS;ELOY ALFARO;VALDEZ (LIMONES)
09;02;50;GUAYAS;ALFREDO BAQUERIZO MORENO (JUJAN);ALFREDO BAQUERIZO MORENO (JUJAN)
10;02;50;IMBABURA;ANTONIO ANTE;ATUNTAQUI
11;02;50;LOJA ;CALVAS;CARIAMANGA
12;02;50;LOS RIOS;BABA;BABA
13;02;50;MANABI;BOLIVAR;CALCETA
14;02;50; MORONA SANTIAGO; GUALAQUIZA;GUALAQUIZA
16;02;50; PASTAZA;MERA;MERA
17;02;50;PICHINCHA;CAYAMBE;CAYAMBE
18;02;50;TUNGURAHUA;BAÑOS DE AGUA SANTA;BAÑOS DE AGUA SANTA
19;02;50; ZAMORA CHINCHIPE; CHINCHIPE;ZUMBA
20;02;50; GALAPAGOS; ISABELA;PUERTO VILLAMIL
21;02;50;SUCUMBIOS; GONZALO PIZARRO;LUMBAQUI
22;02;50; ORELLANA;AGUARICO;NUEVO ROCAFUERTE
24;02;50;SANTA ELENA; LA LIBERTAD;LA LIBERTAD
01;03;50;AZUAY;GUALACEO;GUALACEO
02;03;50;BOLIVAR; CHIMBO;SAN JOSE DE CHIMBO
03;03;50; CAÑAR;CAÑAR;CAÑAR
04;03;50;CARCHI; ESPEJO;EL ANGEL
05;03;50; COTOPAXI;PANGUA;EL CORAZON
06;03;50;CHIMBORAZO; COLTA;VILLA LA UNION (CAJABAMBA)
07;03;50;EL ORO;ATAHUALPA;PACCHA
08;03;50;ESMERALDAS;MUISNE;MUISNE
09;03;50;GUAYAS;BALAO;BALAO
10;03;50;IMBABURA;COTACACHI;COTACACHI
11;03;50;LOJA ;CATAMAYO;CATAMAYO (LA TOMA)
12;03;50;LOS RIOS; MONTALVO;MONTALVO
13;03;50;MANABI;CHONE;CHONE
14;03;50; MORONA SANTIAGO;LIMON INDANZA;GENERAL LEONIDAS PLAZA GUTIERREZ (LIMON)
15;03;50; NAPO;ARCHIDONA;ARCHIDONA
16;03;50; PASTAZA; SANTA CLARA;SANTA CLARA
17;03;50;PICHINCHA; MEJIA;MACHACHI
18;03;50;TUNGURAHUA; CEVALLOS;CEVALLOS
19;03;50; ZAMORA CHINCHIPE; NANGARITZA;GUAYZIMI
20;03;50; GALAPAGOS; SANTA CRUZ;PUERTO AYORA
21;03;50;SUCUMBIOS; PUTUMAYO;PUERTO EL CARMEN DEL PUTUMAYO
22;03;50; ORELLANA; LA JOYA DE LOS SACHAS;LA JOYA DE LOS SACHAS
24;03;50;SANTA ELENA;SALINAS;SALINAS
01;04;50;AZUAY; NABON; NABON
02;04;50;BOLIVAR; ECHEANDIA; ECHEANDIA
03;04;50; CAÑAR; LA TRONCAL; LA TRONCAL
04;04;50;CARCHI; MIRA;MIRA (CHONTAHUASI)
05;04;50; COTOPAXI; PUJILI;PUJILI
06;04;50;CHIMBORAZO;CHAMBO;CHAMBO
07;04;50;EL ORO;BALSAS;BALSAS
08;04;50;ESMERALDAS;QUININDE;ROSA ZARATE (QUININDE)
09;04;50;GUAYAS;BALZAR;BALZAR
10;04;50;IMBABURA;OTAVALO;OTAVALO
11;04;50;LOJA ;CELICA;CELICA
12;04;50;LOS RIOS;PUEBLOVIEJO;PUEBLOVIEJO
13;04;50;MANABI;EL CARMEN;EL CARMEN
14;04;50; MORONA SANTIAGO;PALORA;PALORA (METZERA)
15;04;50; NAPO;EL CHACO;EL CHACO
16;04;50; PASTAZA; ARAJUNO;ARAJUNO
17;04;50;PICHINCHA; PEDRO MONCAYO;TABACUNDO
18;04;50;TUNGURAHUA; MOCHA;MOCHA
19;04;50; ZAMORA CHINCHIPE; YACUAMBI;28 DE MAYO (SAN JOSE DE YACUAMBI)
21;04;50;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI
22;04;50; ORELLANA; LORETO;LORETO
01;05;50;AZUAY;PAUTE;PAUTE
02;05;50;BOLIVAR;SAN MIGUEL;SAN MIGUEL
03;05;50; CAÑAR;EL TAMBO ;EL TAMBO 
04;05;50;CARCHI;MONTUFAR;SAN GABRIEL
05;05;50; COTOPAXI; SALCEDO;SAN MIGUEL
06;05;50;CHIMBORAZO;CHUNCHI;CHUNCHI
07;05;50;EL ORO;CHILLA;CHILLA
08;05;50;ESMERALDAS;SAN LORENZO;SAN LORENZO
09;05;50;GUAYAS;COLIMES;COLIMES
10;05;50;IMBABURA;PIMAMPIRO;PIMAMPIRO
11;05;50;LOJA ;CHAGUARPAMBA;CHAGUARPAMBA
12;05;50;LOS RIOS;QUEVEDO;QUEVEDO
13;05;50;MANABI; FLAVIO ALFARO;FLAVIO ALFARO
14;05;50; MORONA SANTIAGO;SANTIAGO;SANTIAGO DE MENDEZ
17;05;50;PICHINCHA;RUMIÑAHUI;SANGOLQUI
18;05;50;TUNGURAHUA; PATATE;PATATE
19;05;50; ZAMORA CHINCHIPE; YANTZAZA (YANZATZA);YANTZAZA (YANZATZA)
21;05;50;SUCUMBIOS; SUCUMBIOS;LA BONITA
01;06;50;AZUAY; PUCARA; PUCARA
02;06;50;BOLIVAR; CALUMA ; CALUMA 
03;06;50; CAÑAR; DELEG; DELEG
04;06;50;CARCHI; SAN PEDRO DE HUACA;HUACA
05;06;50; COTOPAXI;SAQUISILI;SAQUISILI, 
06;06;50;CHIMBORAZO;GUAMOTE;GUAMOTE
07;06;50;EL ORO;EL GUABO;EL GUABO
08;06;50;ESMERALDAS;ATACAMES;ATACAMES
09;06;50;GUAYAS;DAULE;DAULE
10;06;50;IMBABURA;SAN MIGUEL DE URCUQUI;URCUQUI
11;06;50;LOJA ; ESPINDOLA;AMALUZA
12;06;50;LOS RIOS;URDANETA;CATARAMA
13;06;50;MANABI; JIPIJAPA;JIPIJAPA
14;06;50; MORONA SANTIAGO;SUCUA;SUCUA
18;06;50;TUNGURAHUA; QUERO;QUERO
19;06;50; ZAMORA CHINCHIPE; EL PANGUI;EL PANGUI
21;06;50;SUCUMBIOS;CASCALES;EL DORADO DE CASCALES
01;07;50;AZUAY; SAN FERNANDO; SAN FERNANDO
02;07;50;BOLIVAR; LAS NAVES; LAS NAVES
03;07;50; CAÑAR;SUSCAL;SUSCAL
05;07;50; COTOPAXI;SIGCHOS;SIGCHOS
06;07;50;CHIMBORAZO;GUANO;GUANO
